NO;KODE BARANG;NAMA BARANG;SATUAN;SALDO AWAL;HARGA;TOTAL
3e54b64e-7fc8-11e6-aed5-000476f4fa98;1.1.1;Kertas HVS 60 gr Double Folio ;rim;9;10.000;90.000
3e56de5f-7fc8-11e6-aed5-000476f4fa98;1.1.2;Kertas HVS 60 gr Folio ;rim;9;10.000;90.000
3e56e763-7fc8-11e6-aed5-000476f4fa98;1.1.3;Kertas HVS 60 gr Kwarto ;rim;9;10.000;90.000
3e56eff5-7fc8-11e6-aed5-000476f4fa98;1.1.4;Kertas HVS 70 gr Double Folio ;rim;9;10.000;90.000
3e56f838-7fc8-11e6-aed5-000476f4fa98;1.1.5;Kertas HVS 70 gr Folio ;rim;9;10.000;90.000
3e57006e-7fc8-11e6-aed5-000476f4fa98;1.1.6;Kertas HVS 70 gr Kwarto ;rim;9;10.000;90.000
3e5708bb-7fc8-11e6-aed5-000476f4fa98;1.1.7;Kertas HVS 80 gr Double Folio;rim;9;10.000;90.000
3e57110d-7fc8-11e6-aed5-000476f4fa98;1.1.8;Kertas HVS 80 gr Folio ;rim;9;10.000;90.000
3e571950-7fc8-11e6-aed5-000476f4fa98;1.1.9;Kertas HVS 80 gr Kwarto ;rim;;;
3e572185-7fc8-11e6-aed5-000476f4fa98;1.1.10;Kertas Asturo;lbr;;;
3e5729ba-7fc8-11e6-aed5-000476f4fa98;1.1.11;Kertas Dooslag ;rim;;;
3e57321a-7fc8-11e6-aed5-000476f4fa98;1.1.12;Kertas Dooslag Folio Berwarna;rim;;;
3e573adc-7fc8-11e6-aed5-000476f4fa98;1.1.13;Kertas Dooslag Plara;lbr;;;
3e5743ee-7fc8-11e6-aed5-000476f4fa98;1.1.14;Kertas Duplikatar;pack;;;
3e574c72-7fc8-11e6-aed5-000476f4fa98;1.1.15;Kertas Folio Bergaris;pack;;;
3e5754f8-7fc8-11e6-aed5-000476f4fa98;1.1.16;Kertas HVS Folio Berwarna ;rim;;;
3e575d80-7fc8-11e6-aed5-000476f4fa98;1.1.17;Kertas Karton No 100 Plara;pack;;;
3e57661c-7fc8-11e6-aed5-000476f4fa98;1.1.18;Kertas Karton No 120 Plara;pack;;;
3e576f5a-7fc8-11e6-aed5-000476f4fa98;1.1.19;Kertas Karton No 140 Plara;pack;;;
3e577869-7fc8-11e6-aed5-000476f4fa98;1.1.20;Kertas Kraaf Sampul;lbr;;;
3e5780e4-7fc8-11e6-aed5-000476f4fa98;1.1.21;Kertas Line Ao;pack;;;
3e578975-7fc8-11e6-aed5-000476f4fa98;1.1.22;Kertas Manila kartor;lbr;;;
3e5791f7-7fc8-11e6-aed5-000476f4fa98;1.1.23;Kertas Roneo;pack;;;
3e579a8c-7fc8-11e6-aed5-000476f4fa98;1.1.24;Kertas Roti;lbr;;;
3e57a333-7fc8-11e6-aed5-000476f4fa98;1.1.25;Kertas Sheet;rim;;;
3e57abf4-7fc8-11e6-aed5-000476f4fa98;1.1.26;Kertas Stiker  ;lbr;;;
3e57b552-7fc8-11e6-aed5-000476f4fa98;1.1.27;Kertas Tissu ;pack;;;
3e57bfd3-7fc8-11e6-aed5-000476f4fa98;1.1.28;Kertas Milimeter Double Folio;buku;;;
3e57c887-7fc8-11e6-aed5-000476f4fa98;1.1.29;Kertas Milimeter Folio;buku;;;
