"NO";"KODE BARANG";"NAMA BARANG";"SATUAN";"SALDO AWAL";"HARGA";"TOTAL"
"bf459f83-6b74-11eb-9e21-309c234ddeac";"1.1.1";"Cat Tembok";"buah";"";"";""
"bf45a05d-6b74-11eb-9e21-309c234ddeac";"1.1.2";"Handel besar";"buah";"";"";""
"bf45a0b6-6b74-11eb-9e21-309c234ddeac";"1.1.3";"Bahan Dan Alat Amplas besi/kayu ";"lbr";"";"";""
"bf45a108-6b74-11eb-9e21-309c234ddeac";"1.1.4";"Bahan Dan Alat Atap galvalum & laminasi ";"m2";"";"";""
"bf45a180-6b74-11eb-9e21-309c234ddeac";"1.1.5";"Bahan Dan Alat Atap galvalum tebal 0,3 ";"m2";"";"";""
"bf45a1cf-6b74-11eb-9e21-309c234ddeac";"1.1.6";"Bahan Dan Alat Bataco ";"buah";"";"";""
"bf45a21f-6b74-11eb-9e21-309c234ddeac";"1.1.7";"Bahan Dan Alat Batu bata merah ";"buah";"";"";""
"bf45a26f-6b74-11eb-9e21-309c234ddeac";"1.1.8";"Bahan Dan Alat Batu lempeng  ";"m2";"";"";""
"bf45a2c1-6b74-11eb-9e21-309c234ddeac";"1.1.9";"Bahan Dan Alat Baut baja ";"kg";"";"";""
"bf45a313-6b74-11eb-9e21-309c234ddeac";"1.1.10";"Bahan Dan Alat Besi Penguat Beton ";"buah";"";"";""
"bf45a364-6b74-11eb-9e21-309c234ddeac";"1.1.11";"Bahan Dan Alat Besi hollow 1,8/3,8 cm t:0,3 ";"m";"";"";""
"bf45a3b3-6b74-11eb-9e21-309c234ddeac";"1.1.12";"Bahan Dan Alat Cat besi ";"kg";"";"";""
"bf45a404-6b74-11eb-9e21-309c234ddeac";"1.1.13";"Bahan Dan Alat Cat kayu (dalam/luar) ";"kg";"";"";""
"bf45a478-6b74-11eb-9e21-309c234ddeac";"1.1.14";"Bahan Dan Alat Cat tembok (dalam) ";"kg";"";"";""
"bf45a4c6-6b74-11eb-9e21-309c234ddeac";"1.1.15";"Bahan Dan Alat Cat tembok (luar) ";"kg";"";"";""
"bf45a514-6b74-11eb-9e21-309c234ddeac";"1.1.16";"Bahan Dan Alat Closet duduk ex. Toto ";"buah";"";"";""
"bf45a561-6b74-11eb-9e21-309c234ddeac";"1.1.17";"Bahan Dan Alat Closet jongkok  ";"buah";"";"";""
"bf45a5b0-6b74-11eb-9e21-309c234ddeac";"1.1.18";"Bahan Dan Alat Daun pintu alminium putih ";"buah";"";"";""
"bf45a622-6b74-11eb-9e21-309c234ddeac";"1.1.19";"Bahan Dan Alat Down light 4 inci ";"buah";"";"";""
"bf45a670-6b74-11eb-9e21-309c234ddeac";"1.1.20";"Bahan Dan Alat Engsel jendela biasa ";"buah";"";"";""
"bf45a6bd-6b74-11eb-9e21-309c234ddeac";"1.1.21";"Bahan Dan Alat Engsel pintu sedang ";"buah";"";"";""
"bf45a70f-6b74-11eb-9e21-309c234ddeac";"1.1.22";"Bahan Dan Alat  Floor drain ";"buah";"";"";""
"bf45a7df-6b74-11eb-9e21-309c234ddeac";"1.1.23";"Bahan Dan Alat Granit 100 x 100 (batu Granit) ";"m2";"";"";""
"bf45a83a-6b74-11eb-9e21-309c234ddeac";"1.1.24";"Bahan Dan Alat Kawat bendrat ";"kg";"";"";""
"bf45a9cf-6b74-11eb-9e21-309c234ddeac";"1.1.26";"Bahan Dan Alat Kayu list profil ";"m";"";"";""
"bf45aa3c-6b74-11eb-9e21-309c234ddeac";"1.1.27";"Bahan Dan Alat Keramik 20 x 20 ";"m2";"";"";""
"bf45aa8a-6b74-11eb-9e21-309c234ddeac";"1.1.28";"Bahan Dan Alat Keramik 20 x 25 dinding ";"m2";"";"";""
"bf45ab65-6b74-11eb-9e21-309c234ddeac";"1.1.29";"Bahan Dan Alat Keramik 30 x 30 polos ";"m2";"";"";""
"bf45abb6-6b74-11eb-9e21-309c234ddeac";"1.1.30";"Bahan Dan Alat Keramik 40 x 40 ( Platinum ) ";"m2";"";"";""
"bf45ac0b-6b74-11eb-9e21-309c234ddeac";"1.1.31";"Bahan Dan Alat Keramik 40 x 40 polos ";"m2";"";"";""
"bf45ac5b-6b74-11eb-9e21-309c234ddeac";"1.1.32";"Bahan Dan Alat Keramik 40 x 40 warna motif  ";"m2";"";"";""
"bf45acae-6b74-11eb-9e21-309c234ddeac";"1.1.33";"Bahan Dan Alat Kran Air  diameter 3/4 inci ( biasa ) ";"buah";"";"";""
"bf45ad7d-6b74-11eb-9e21-309c234ddeac";"1.1.34";"Bahan Dan Alat Kran Air  diameter 3/4 inci ( sedang ) ";"buah";"";"";""
"bf45adce-6b74-11eb-9e21-309c234ddeac";"1.1.35";"Bahan Dan Alat Kran Air  diameter 1/2 inci ( biasa ) ";"buah";"";"";""
"bf45ae1c-6b74-11eb-9e21-309c234ddeac";"1.1.36";"Bahan Dan Alat Kusen Almunium putih 4 inci ";"m";"";"";""
"bf45ae6a-6b74-11eb-9e21-309c234ddeac";"1.1.37";"Bahan Dan Alat Lem kayu ";"kg";"";"";""
"bf45aeb8-6b74-11eb-9e21-309c234ddeac";"1.1.38";"Bahan Dan Alat List Profil Gypsum ";"m2";"";"";""
"bf45af06-6b74-11eb-9e21-309c234ddeac";"1.1.39";"Bahan Dan Alat Paku Pacing/skrup asbes/baut trip ";"kg";"";"";""
"bf45af57-6b74-11eb-9e21-309c234ddeac";"1.1.40";"Bahan Dan Alat Paku sekrup fisher/dynebolt/ramset ";"buah";"";"";""
"bf45afa5-6b74-11eb-9e21-309c234ddeac";"1.1.41";"Bahan Dan Alat Paku Triplek 2 cm ";"kg";"";"";""
"bf45aff2-6b74-11eb-9e21-309c234ddeac";"1.1.42";"Bahan Dan Alat Papan Nama Proyek ";"buah";"";"";""
"bf45b040-6b74-11eb-9e21-309c234ddeac";"1.1.43";"Bahan Dan Alat Pasang rangka atap baja ringan ";"m2";"";"";""
"bf45b0e2-6b74-11eb-9e21-309c234ddeac";"1.1.45";"Bahan Dan Alat Pipa PVC 3/4  inci - 4 meter persegi AW ";"buah";"";"";""
"bf45b137-6b74-11eb-9e21-309c234ddeac";"1.1.46";"Bahan Dan Alat Pipa PVC 1  inci - 4 meter persegi AW ";"buah";"";"";""
"bf45b18c-6b74-11eb-9e21-309c234ddeac";"1.1.47";"Bahan Dan Alat Plamir ";"kg";"";"";""
"bf45b1db-6b74-11eb-9e21-309c234ddeac";"1.1.48";"Bahan Dan Alat Plint keramik   7 x 20 ";"buah";"";"";""
"bf45b229-6b74-11eb-9e21-309c234ddeac";"1.1.49";"Bahan Dan Alat Shower ";"set";"";"";""
"bf45b277-6b74-11eb-9e21-309c234ddeac";"1.1.50";"Bahan Dan Alat Slot Kunci Pipih ( sedang ) ";"buah";"";"";""
"bf45b2c5-6b74-11eb-9e21-309c234ddeac";"1.1.51";"Bahan Dan Alat Stop Kran tipe handle  diameter  1.5 inci ";"buah";"";"";""
"bf45b313-6b74-11eb-9e21-309c234ddeac";"1.1.52";"Bahan Dan Alat Triplek Tebal 2,7 mm (1,2x2,4) Sengon ";"lbr";"";"";""
"bf45b362-6b74-11eb-9e21-309c234ddeac";"1.1.53";"Bahan Dan Alat Wasbak (bak cuci) stainless ";"buah";"";"";""
"bf45b3b2-6b74-11eb-9e21-309c234ddeac";"1.1.54";"Bahan Dan Alat Wastafel komplit ";"buah";"";"";""
"bf45b400-6b74-11eb-9e21-309c234ddeac";"1.1.55";"Bahan Dan Alat Besi Wire Mesh M 8 (7,2 mm) uk. 2,1 x 5,4 ";"lbr";"";"";""
"bf45b452-6b74-11eb-9e21-309c234ddeac";"1.1.56";"Bahan Dan Alat MCB ";"buah";"";"";""
"bf45b49e-6b74-11eb-9e21-309c234ddeac";"1.1.57";"Bahan Dan Alat Kaca cermin 5 mm ";"m2";"";"";""
"bf45b4e9-6b74-11eb-9e21-309c234ddeac";"1.1.58";"Bahan Pintu Pengairan Baut bingkai  diameter12";"buah";"";"";""
"bf45b533-6b74-11eb-9e21-309c234ddeac";"1.1.59";"Bahan Pintu Pengairan Gembok kunci pengaman";"buah";"";"";""
"bf45b57d-6b74-11eb-9e21-309c234ddeac";"1.1.60";"Semen";"sak besar";"";"";""
"bf45b5c8-6b74-11eb-9e21-309c234ddeac";"1.1.61";"Shock pralon 3/4";"buah";"";"";""
"bf45b611-6b74-11eb-9e21-309c234ddeac";"1.1.62";"Knie L 3/4";"buah";"";"";""
"bf45b65c-6b74-11eb-9e21-309c234ddeac";"1.1.63";"Lem PVC";"buah";"";"";""
"bf45b6a5-6b74-11eb-9e21-309c234ddeac";"1.1.64";"Paku Beton Besar";"buah";"";"";""
"bf45b6ef-6b74-11eb-9e21-309c234ddeac";"1.1.65";"Kuas Standart";"buah";"";"";""
"bf45b739-6b74-11eb-9e21-309c234ddeac";"1.1.66";"Pasir";"rit";"";"";""
"bf45b783-6b74-11eb-9e21-309c234ddeac";"1.1.67";"Klem Pipa";"buah";"";"";""
"bf45b7cc-6b74-11eb-9e21-309c234ddeac";"1.1.68";"Selang Air Roll";"roll";"";"";""
"bf45b816-6b74-11eb-9e21-309c234ddeac";"1.1.69";"Sok 1,5 inci";"buah";"";"";""
"bf45b85f-6b74-11eb-9e21-309c234ddeac";"1.1.70";"Selang Fleksibel";"buah";"";"";""
"bf45b8a8-6b74-11eb-9e21-309c234ddeac";"1.1.71";"Nepel";"buah";"";"";""
"bf45b8f2-6b74-11eb-9e21-309c234ddeac";"1.1.72";"Alat Cat Roll";"buah";"";"";""
"bf45b93c-6b74-11eb-9e21-309c234ddeac";"1.1.73";"Bak Cat";"buah";"";"";""
"bf45b985-6b74-11eb-9e21-309c234ddeac";"1.1.74";"Plamor";"kg";"";"";""
"bf45b9cf-6b74-11eb-9e21-309c234ddeac";"1.1.75";"Downlight";"buah";"";"";""
"bf45ba18-6b74-11eb-9e21-309c234ddeac";"1.1.76";"Paku Usuk";"kg";"";"";""
"bf45ba61-6b74-11eb-9e21-309c234ddeac";"1.1.77";"Paku Baut Trip";"kg";"";"";""
"bf45baab-6b74-11eb-9e21-309c234ddeac";"1.1.78";"Sock 0.5 inch";"buah";"";"";""
"bf45baf4-6b74-11eb-9e21-309c234ddeac";"1.1.79";"Over Sock";"buah";"";"";""
"bf45bb3e-6b74-11eb-9e21-309c234ddeac";"1.1.80";"Pipa Diameter 3 inch";"m";"";"";""
"bf45bb87-6b74-11eb-9e21-309c234ddeac";"1.1.81";"Galvalum";"m2";"";"";""
"bf45bbd0-6b74-11eb-9e21-309c234ddeac";"1.1.82";"Besi Hollo 3,5x3,5mm";"m";"";"";""
"bf45bc1a-6b74-11eb-9e21-309c234ddeac";"1.1.83";"Besi Hollo 1x3 mm";"m";"";"";""
"bf45bc64-6b74-11eb-9e21-309c234ddeac";"1.1.84";"Besi Hollo 4x6 mm";"m";"";"";""
"bf45bcad-6b74-11eb-9e21-309c234ddeac";"1.1.85";"Pipa Galvanis 2 inch";"m";"";"";""
"bf45bcf6-6b74-11eb-9e21-309c234ddeac";"1.1.86";"Besi Hollo 4x4 mm";"m";"";"";""
"bf45bd3f-6b74-11eb-9e21-309c234ddeac";"1.1.87";"Besi Hollo 2x4 mm";"m";"";"";""
"bf45bd89-6b74-11eb-9e21-309c234ddeac";"1.1.88";"Pipa 2 inch";"m";"";"";""
