Benang Obras;10;0
Jarum Juki DB uk. 14;127;0
Jarum obras kecil DC. 14;127;0
Jarum tangan pangkal kuning;127;0
Kain Tangering 1500 mm;59;0
Kain keras M33;6;0
Kain keras KK SIM;6;0
Resleting uk.15 cm;10;0
Hak YKK putrid;127;0
Kancing Tik 555;41;0
Jarum Pentul;48;0
Kapur Bebek;127;0
Elastis ( 1 gulung = 15 meter );50;0
Kancing Blus uk. 6x16;55;0
Kancing Hias Putrid ;55;0
Kertas Payung;41;0
Lasban Kertas;10;0
Spol;10;0
Spoci;10;0
Sepatu Mesin Jahit;10;0
Pinset;10;0
Olie mesin jahit;3;0
Kain Ero;59;0
Kain Batik Katun;6;0
Kain katun jarik;6;0
Kain latun jumputan;6;0
Kain Sanwas;6;0
Plastik packing;48;0
Trika;12;0
Alat Pembungkus Kancing;10;0
