1;Kertas HVS 60 gr Double Folio ;17;60000
2;Kertas HVS 60 gr Folio ;17;40000
3;Kertas HVS 60 gr Kwarto ;17;30000
4;Kertas HVS 70 gr Double Folio ;17;72000
5;Kertas HVS 70 gr Folio ;17;47000
6;Kertas HVS 70 gr Kwarto ;17;42000
7;Kertas HVS 80 gr Double Folio;17;73000
8;Kertas HVS 80 gr Folio ;17;60000
9;Kertas HVS 80 gr Kwarto ;17;45000
10;Kertas Asturo;41;2500
11;Kertas Dooslag ;17;36900
12;Kertas Dooslag Folio Berwarna;17;39900
13;Kertas Dooslag Plara;41;1000
14;Kertas Duplikatar;48;40000
15;Kertas Folio Bergaris;48;35000
16;Kertas HVS Folio Berwarna ;17;61000
17;Kertas Karton No 100 Plara;48;185000
18;Kertas Karton No 120 Plara;48;195000
19;Kertas Karton No 140 Plara;48;200000
20;Kertas Kraaf Sampul;41;1500
21;Kertas Line Ao;48;8000
22;Kertas Manila kartor;41;2000
23;Kertas Roneo;48;34000
24;Kertas Roti;41;1250
25;Kertas Sheet;17;135000
26;Kertas Stiker  ;41;2000
27;Kertas Tissu ;48;8000
28;Kertas Milimeter Double Folio;49;95000
29;Kertas Milimeter Folio;49;4000
30;Kertas Milimeter 105 cm;50;90000
31;Karbon Double Folio;48;100000
32;Karbon Folio;48;50000
33;Binder Clips No. 107;13;6700
34;Binder Clips No. 111;13;8000
35;Binder Clips No. 155;13;10000
36;Binder Clips No. 200;13;17000
37;Binder Clips No. 260;13;22000
38;Buku Blocknote;10;5500
39;Buku Ekspedi (Isi 100 lbr);10;13000
40;Buku Folio ( Isi 200 lbr);10;28500
41;Buku Folio Isi 300;10;42450
42;Buku Folio Isi 400;10;60000
43;Buku Folio Isi 500;10;70000
44;Buku Kas Folio (Isi 100 lbr);10;18500
45;Buku Kas Kwarto ( Isi 100 lbr);10;11000
46;Buku Kwarto garis ( Isi 100 lbr);10;10000
47;Buku Kwitansi Besar;10;7500
48;Buku Kwitansi Kecil;10;3500
49;Buku Tulis Isi 100 lbr;10;6000
50;Buku Tulis Isi 32 lbr;10;2000
