1;gelas coklat;46;25000
2;gelas kristal;46;80000
3;gelas sot drink;46;19000
4;gelas tangkai;46;50000
5;gelas tea set (isi 12 cangkir) keramik;42;45000
6;Piring Makan Ceper Keramik;46;193000
7;Piring Makan Kaca;46;45000
8;Piring Makan Keramik;46;186000
9;Piring Snack Kaca;46;30000
10;Piring Snack keramik;46;70000
11;Sendok Bebek;46;38500
12;Sendok Garpu Snack;46;38500
13;Sendok Makan;46;35000
14;Mangkuk Kaca;46;29500
15;Mangkuk Keramik;46;65000
16;Mangkuk Sop;46;56000
17;Thermos Air;10;44000
18;Thermos Nasi Besar;10;135000
19;Thermos Nasi Kecil;10;45000
20;Ember Plastik 60 Lt;10;45000
21;Ember Plastik Cangkingan;10;11000
22;Ember Plastik Tutup 60 Lt;10;50000
23;Ember Seng Cangkingan;10;12000
24;Kain Pel kecil;10;9000
25;Kain Pel Besar;10;10000
26;Keset Handuk (60 x 90 cm);10;19000
27;Keset karet ( 60 x 90 cm);10;28600
28;Keset Karpet ( 40 x 120 cm);10;16000
29;Keset Karpet ( 40 x 60 cm);10;15000
30;Keset Sepet ( 40 x 20 cm);10;16000
31;Keset Sepet (40 x 60 cm);10;11000
32;Keset Sepet Pintu Masuk Utama (250 x 60 cm);10;220000
33;Mesin jahit kaki;10;525000
34;Mesin jahit motor;10;650000
35;Mesin Obras;10;700000
36;Emergency Lamp;10;250000
37;Mesin Pemotong Rumput;10;UP
38;Pompa Air otomatis untuk < 12 meter;10;200000
39;Pompa Air otomatis untuk > 12 meter;10;275000
40;Pompa Air untuk < 12 meter;10;245000
41;Pompa Air untuk > 12 meter;10;355000
42;Dispenser Panas netral;10;185000
43;Dispenser Panas dingin;10;900000
44;Dispenser Panas dingin netral;10;2250000
45;Water Heater Elektrik Kapasitas < 30 lt;10;2250000
46;Water Heater Elektrik Kapasitas > 30 lt;10;3250000
47;Water Heater Gas kapasitas < 30 lt;10;2000000
48;Water Heater Gas kapasitas > 30 lt;10;3250000
49;Water Heater Tenaga Matahari;10;11000000
50;Kompor Gas Portable 1 penampang;18;154000
51;Kompor Gas Standart 2 penampang;18;335000
52;Kompor Gas Standart 2 penampang + oven;18;355000
53;Kompor Gas Meja 4 penampang + oven;18;8450000
54;Mesin Cuci Semi otomatis (2 tabung) uk 3 s/d 4,5 kg;18;1570000
55;Mesin Cuci Semi otomatis (2 tabung)uk 5 s/d 7 kg;18;1850000
56;Mesin Cuci Otomatis (1 tabung ) uk 3 s/d 4,5 kg ;18;2470000
57;Mesin Cuci Otomatis (1 tabung ) uk 5 s/d 7 kg;18;3650000
58;Mesin Cuci Otomatis (1 tabung samping) 10 kg;18;5700000
59;Mesin Penghisap Debu (vacum cleaner) Tipe kering kecil;18;1600000
60;Mesin Penghisap Debu (vacum cleaner) Tipe kering besar;18;2600000
61;Mesin Penghisap Debu (vacum cleaner) Tipe basah dan kering kecil;18;5450000
62;Mesin Penghisap Debu (vacum cleaner) Tipe basah dan kering besar;18;8300000
63;Seterika Otomatis;10;150000
64;Seterika Biasa;10;100000
65;Rak Televisi Sedang;18;560000
66;Rak Televisi Besar;18;833000
67;Penanak Nasi;10;450000
68;Meja seterika;10;100000
69;Rak plastik;10;33000
70;Gayung air;10;6000
71;Handuk besar;10;38500
72;Handuk Kecil;10;22000
73;Bendera uk 180 x 270;10;95000
74;Bendera uk 180 x 240;10;75000
75;Bendera uk 90 x 120;10;55000
76;Pot Bunga Plastik uk kecil biasa;10;1500
77;Pot Bunga Plastik uk sedang biasa;10;3000
78;Pot Bunga Plastik uk besar biasa;10;7000
79;Pot Bunga Plastik uk sedang motif;10;12000
80;Pot Bunga Plastik uk besar motif;10;25000
81;Pot Bunga Semen uk kecil;10;3000
82;Pot Bunga Semen uk sedang;10;7500
83;Pot Bunga Semen uk besar;10;15000
84;Pot Bunga Tong ;10;125000
85;Pot Bunga Tong tri sheet;10;750000
86;Tempat handuk besi;10;60000
87;Tempat handuk aluminium;10;100000
88;Tempat handuk Jemuran pakaian;10;1000000
89;Rak piring;18;1500000
90;Tlisir Meja;6;50000
